hand:239A8(HandType.HIGH_C). bid:171    value:145880.   hand_rank:1
hand:44KAK(HandType.PAIRx2). bid:747    value:281820.   hand_rank:369
hand:45354(HandType.PAIRx2). bid:108    value:283476.   hand_rank:370
hand:45949(HandType.PAIRx2). bid:618    value:285001.   hand_rank:371
hand:49429(HandType.PAIRx2). bid:123    value:300073.   hand_rank:372
hand:4TT49(HandType.PAIRx2). bid:182    value:305737.   hand_rank:373
hand:4Q4Q7(HandType.PAIRx2). bid:104    value:308407.   hand_rank:374
hand:4QQ54(HandType.PAIRx2). bid:485    value:310100.   hand_rank:375
hand:4K242(HandType.PAIRx2). bid:998    value:311874.   hand_rank:376
hand:4KTTK(HandType.PAIRx2). bid:239    value:314028.   hand_rank:377
hand:52J99(HandType.PAIRx2). bid:801    value:336281.   hand_rank:378
hand:525Q2(HandType.PAIRx2). bid:804    value:337330.   hand_rank:379
hand:53359(HandType.PAIRx2). bid:882    value:340825.   hand_rank:380
hand:56445(HandType.PAIRx2). bid:56     value:353349.   hand_rank:381
hand:575Q7(HandType.PAIRx2). bid:668    value:357815.   hand_rank:382
hand:57QQ5(HandType.PAIRx2). bid:397    value:359349.   hand_rank:383
hand:58TTJ(HandType.PAIRx2). bid:888    value:363169.   hand_rank:384
hand:58AA8(HandType.PAIRx2). bid:915    value:363992.   hand_rank:385
hand:59569(HandType.PAIRx2). bid:508    value:365929.   hand_rank:386
hand:5A5KK(HandType.PAIRx2). bid:558    value:382412.   hand_rank:387
hand:5AQQJ(HandType.PAIRx2). bid:918    value:383921.   hand_rank:388
hand:62T26(HandType.PAIRx2). bid:930    value:404006.   hand_rank:389
hand:633KK(HandType.PAIRx2). bid:422    value:406476.   hand_rank:390
hand:63653(HandType.PAIRx2). bid:462    value:407123.   hand_rank:391
hand:65644(HandType.PAIRx2). bid:679    value:415300.   hand_rank:392
hand:665Q5(HandType.PAIRx2). bid:829    value:419253.   hand_rank:393
hand:667Q7(HandType.PAIRx2). bid:347    value:419767.   hand_rank:394
hand:68648(HandType.PAIRx2). bid:418    value:427592.   hand_rank:395
hand:69968(HandType.PAIRx2). bid:252    value:432488.   hand_rank:396
hand:6Q6AA(HandType.PAIRx2). bid:353    value:440029.   hand_rank:397
hand:73447(HandType.PAIRx2). bid:236    value:472135.   hand_rank:398
hand:73TT7(HandType.PAIRx2). bid:808    value:473767.   hand_rank:399
hand:74J9J(HandType.PAIRx2). bid:642    value:475537.   hand_rank:400
hand:75547(HandType.PAIRx2). bid:175    value:480583.   hand_rank:401
hand:77A2A(HandType.PAIRx2). bid:561    value:490797.   hand_rank:402
hand:77A6A(HandType.PAIRx2). bid:426    value:490861.   hand_rank:403
hand:79JTT(HandType.PAIRx2). bid:31     value:496042.   hand_rank:404
hand:7T4J4(HandType.PAIRx2). bid:562    value:500756.   hand_rank:405
hand:7T47T(HandType.PAIRx2). bid:660    value:500858.   hand_rank:406
hand:7TKT7(HandType.PAIRx2). bid:821    value:502951.   hand_rank:407
hand:82877(HandType.PAIRx2). bid:43     value:534647.   hand_rank:408
hand:82T82(HandType.PAIRx2). bid:683    value:535170.   hand_rank:409
hand:84648(HandType.PAIRx2). bid:446    value:542280.   hand_rank:410
hand:84822(HandType.PAIRx2). bid:333    value:542754.   hand_rank:411
hand:84847(HandType.PAIRx2). bid:159    value:542791.   hand_rank:412
hand:84QQ4(HandType.PAIRx2). bid:81     value:543668.   hand_rank:413
hand:85548(HandType.PAIRx2). bid:367    value:546120.   hand_rank:414
hand:85587(HandType.PAIRx2). bid:743    value:546183.   hand_rank:415
hand:86446(HandType.PAIRx2). bid:140    value:549958.   hand_rank:416
hand:8822A(HandType.PAIRx2). bid:729    value:557613.   hand_rank:417
hand:8T44T(HandType.PAIRx2). bid:619    value:566346.   hand_rank:418
hand:8T778(HandType.PAIRx2). bid:549    value:567160.   hand_rank:419
hand:9488J(HandType.PAIRx2). bid:601    value:608385.   hand_rank:420
hand:949KK(HandType.PAIRx2). bid:960    value:608716.   hand_rank:421
hand:96JQJ(HandType.PAIRx2). bid:546    value:614833.   hand_rank:422
hand:96269(HandType.PAIRx2). bid:237    value:615017.   hand_rank:423
hand:96446(HandType.PAIRx2). bid:430    value:615494.   hand_rank:424
hand:96KJK(HandType.PAIRx2). bid:987    value:617500.   hand_rank:425
hand:97898(HandType.PAIRx2). bid:417    value:620696.   hand_rank:426
hand:99QQ5(HandType.PAIRx2). bid:337    value:629685.   hand_rank:427
hand:9TT93(HandType.PAIRx2). bid:794    value:633491.   hand_rank:428
hand:9QJ33(HandType.PAIRx2). bid:97     value:635187.   hand_rank:429
hand:9K2K9(HandType.PAIRx2). bid:73     value:639689.   hand_rank:430
hand:9KQQ9(HandType.PAIRx2). bid:851    value:641977.   hand_rank:431
hand:T3TKK(HandType.PAIRx2). bid:117    value:670412.   hand_rank:432
hand:T5TQ5(HandType.PAIRx2). bid:550    value:678581.   hand_rank:433
hand:T5K5T(HandType.PAIRx2). bid:352    value:679002.   hand_rank:434
hand:T5KTK(HandType.PAIRx2). bid:854    value:679084.   hand_rank:435
hand:T755T(HandType.PAIRx2). bid:733    value:685402.   hand_rank:436
hand:T76T7(HandType.PAIRx2). bid:470    value:685735.   hand_rank:437
hand:T9K9K(HandType.PAIRx2). bid:438    value:695452.   hand_rank:438
hand:TT5AA(HandType.PAIRx2). bid:745    value:697821.   hand_rank:439
hand:TT744(HandType.PAIRx2). bid:979    value:698180.   hand_rank:440
hand:Q446Q(HandType.PAIRx2). bid:378    value:738411.   hand_rank:441
hand:Q4A4A(HandType.PAIRx2). bid:626    value:740685.   hand_rank:442
hand:Q7722(HandType.PAIRx2). bid:23     value:751394.   hand_rank:443
hand:Q7Q37(HandType.PAIRx2). bid:533    value:752439.   hand_rank:444
hand:Q83Q3(HandType.PAIRx2). bid:338    value:754611.   hand_rank:445
hand:Q8Q8T(HandType.PAIRx2). bid:216    value:756618.   hand_rank:446
hand:QQ422(HandType.PAIRx2). bid:715    value:767010.   hand_rank:447
hand:QQ6KK(HandType.PAIRx2). bid:928    value:767692.   hand_rank:448
hand:QQA66(HandType.PAIRx2). bid:991    value:769382.   hand_rank:449
hand:QKKQ8(HandType.PAIRx2). bid:12     value:773304.   hand_rank:450
hand:QA33Q(HandType.PAIRx2). bid:15     value:774971.   hand_rank:451
hand:K3434(HandType.PAIRx2). bid:914    value:799796.   hand_rank:452
hand:K8585(HandType.PAIRx2). bid:258    value:820613.   hand_rank:453
hand:KQ77K(HandType.PAIRx2). bid:318    value:833404.   hand_rank:454
hand:KQQK5(HandType.PAIRx2). bid:112    value:834501.   hand_rank:455
hand:KQKQ3(HandType.PAIRx2). bid:587    value:834739.   hand_rank:456
hand:KAJ22(HandType.PAIRx2). bid:346    value:839970.   hand_rank:457
hand:KAKAT(HandType.PAIRx2). bid:781    value:842970.   hand_rank:458
hand:A3QJQ(HandType.PAIRx2). bid:450    value:867099.   hand_rank:459
hand:A442A(HandType.PAIRx2). bid:411    value:869421.   hand_rank:460
hand:A6A46(HandType.PAIRx2). bid:603    value:879942.   hand_rank:461
hand:A8484(HandType.PAIRx2). bid:329    value:885892.   hand_rank:462
hand:ATAT3(HandType.PAIRx2). bid:310    value:896419.   hand_rank:463
hand:AA355(HandType.PAIRx2). bid:946    value:906069.   hand_rank:464
hand:AA554(HandType.PAIRx2). bid:479    value:906580.   hand_rank:465
hand:AAK88(HandType.PAIRx2). bid:105    value:908424.   hand_rank:466
hand:JJ78Q(HandType.THREE_). bid:276    value:71563.    hand_rank:467
hand:JJ834(HandType.THREE_). bid:130    value:71732.    hand_rank:468
hand:J2J6Q(HandType.THREE_). bid:304    value:74091.    hand_rank:469
hand:J233Q(HandType.THREE_). bid:789    value:74555.    hand_rank:470
hand:J2A7A(HandType.THREE_). bid:924    value:77181.    hand_rank:471
hand:J5K4J(HandType.THREE_). bid:404    value:89153.    hand_rank:472
hand:J5KAA(HandType.THREE_). bid:211    value:89309.    hand_rank:473
hand:J64J7(HandType.THREE_). bid:313    value:91159.    hand_rank:474
hand:J6649(HandType.THREE_). bid:170    value:91721.    hand_rank:475
hand:J669Q(HandType.THREE_). bid:728    value:91803.    hand_rank:476
hand:J69J2(HandType.THREE_). bid:165    value:92434.    hand_rank:477
hand:J6K88(HandType.THREE_). bid:948    value:93320.    hand_rank:478
hand:J8767(HandType.THREE_). bid:308    value:100199.   hand_rank:479
hand:J92QQ(HandType.THREE_). bid:197    value:103099.   hand_rank:480
hand:J9962(HandType.THREE_). bid:415    value:104802.   hand_rank:481
hand:JT28T(HandType.THREE_). bid:386    value:107146.   hand_rank:482
hand:JT2K2(HandType.THREE_). bid:585    value:107202.   hand_rank:483
hand:JT992(HandType.THREE_). bid:649    value:108946.   hand_rank:484
hand:JQ559(HandType.THREE_). bid:138    value:111961.   hand_rank:485
hand:JQTT5(HandType.THREE_). bid:455    value:113317.   hand_rank:486
hand:JK82K(HandType.THREE_). bid:856    value:116780.   hand_rank:487
hand:JKTAA(HandType.THREE_). bid:666    value:117469.   hand_rank:488
hand:JAJ37(HandType.THREE_). bid:134    value:119095.   hand_rank:489
hand:JA4JK(HandType.THREE_). bid:926    value:119836.   hand_rank:490
hand:22862(HandType.THREE_). bid:330    value:141410.   hand_rank:491
hand:266J4(HandType.THREE_). bid:932    value:157204.   hand_rank:492
hand:26T22(HandType.THREE_). bid:574    value:158242.   hand_rank:493
hand:2885J(HandType.THREE_). bid:559    value:165969.   hand_rank:494
hand:28868(HandType.THREE_). bid:740    value:165992.   hand_rank:495
hand:28878(HandType.THREE_). bid:567    value:166008.   hand_rank:496
hand:28K88(HandType.THREE_). bid:46     value:167048.   hand_rank:497
hand:2QT22(HandType.THREE_). bid:581    value:178722.   hand_rank:498
hand:2A333(HandType.THREE_). bid:725    value:185139.   hand_rank:499
hand:2AAA3(HandType.THREE_). bid:221    value:187859.   hand_rank:500
hand:3J949(HandType.THREE_). bid:943    value:203081.   hand_rank:501
hand:3JTQQ(HandType.THREE_). bid:513    value:203451.   hand_rank:502
hand:33273(HandType.THREE_). bid:675    value:209523.   hand_rank:503
hand:33376(HandType.THREE_). bid:755    value:209782.   hand_rank:504
hand:33439(HandType.THREE_). bid:701    value:209977.   hand_rank:505
hand:33739(HandType.THREE_). bid:954    value:210745.   hand_rank:506
hand:339J7(HandType.THREE_). bid:384    value:211223.   hand_rank:507
hand:3393T(HandType.THREE_). bid:870    value:211258.   hand_rank:508
hand:355Q5(HandType.THREE_). bid:118    value:218549.   hand_rank:509
hand:36Q66(HandType.THREE_). bid:219    value:224102.   hand_rank:510
hand:3969J(HandType.THREE_). bid:300    value:235153.   hand_rank:511
hand:3T7JT(HandType.THREE_). bid:704    value:239386.   hand_rank:512
hand:3TT9T(HandType.THREE_). bid:32     value:240282.   hand_rank:513
hand:3TTTK(HandType.THREE_). bid:711    value:240300.   hand_rank:514
hand:3TTQT(HandType.THREE_). bid:409    value:240314.   hand_rank:515
hand:3Q233(HandType.THREE_). bid:807    value:242227.   hand_rank:516
hand:3K336(HandType.THREE_). bid:191    value:246582.   hand_rank:517
hand:4J959(HandType.THREE_). bid:667    value:268633.   hand_rank:518
hand:42JT2(HandType.THREE_). bid:439    value:270754.   hand_rank:519
hand:43J63(HandType.THREE_). bid:24     value:274787.   hand_rank:520
hand:44426(HandType.THREE_). bid:869    value:279590.   hand_rank:521
hand:44428(HandType.THREE_). bid:452    value:279592.   hand_rank:522
hand:4445K(HandType.THREE_). bid:592    value:279644.   hand_rank:523
hand:444AT(HandType.THREE_). bid:320    value:279770.   hand_rank:524
hand:444AK(HandType.THREE_). bid:654    value:279772.   hand_rank:525
hand:44674(HandType.THREE_). bid:684    value:280180.   hand_rank:526
hand:44QT4(HandType.THREE_). bid:9      value:281508.   hand_rank:527
hand:48688(HandType.THREE_). bid:535    value:296584.   hand_rank:528
hand:488Q8(HandType.THREE_). bid:392    value:297144.   hand_rank:529
hand:49399(HandType.THREE_). bid:142    value:299929.   hand_rank:530
hand:4T4J8(HandType.THREE_). bid:7      value:304152.   hand_rank:531
hand:4Q44A(HandType.THREE_). bid:623    value:308301.   hand_rank:532
hand:4QQQK(HandType.THREE_). bid:457    value:310204.   hand_rank:533
hand:5J4TJ(HandType.THREE_). bid:361    value:332961.   hand_rank:534
hand:52A55(HandType.THREE_). bid:61     value:339285.   hand_rank:535
hand:54644(HandType.THREE_). bid:44     value:345668.   hand_rank:536
hand:55JK2(HandType.THREE_). bid:158    value:348610.   hand_rank:537
hand:5559Q(HandType.THREE_). bid:698    value:349595.   hand_rank:538
hand:55K57(HandType.THREE_). bid:833    value:351319.   hand_rank:539
hand:56585(HandType.THREE_). bid:225    value:353669.   hand_rank:540
hand:56Q55(HandType.THREE_). bid:194    value:355157.   hand_rank:541
hand:5K3KJ(HandType.THREE_). bid:898    value:377793.   hand_rank:542
hand:5A5J7(HandType.THREE_). bid:517    value:382231.   hand_rank:543
hand:6JJ72(HandType.THREE_). bid:269    value:397682.   hand_rank:544
hand:6JQQ4(HandType.THREE_). bid:67     value:400308.   hand_rank:545
hand:6JK86(HandType.THREE_). bid:776    value:400518.   hand_rank:546
hand:626T6(HandType.THREE_). bid:748    value:403110.   hand_rank:547
hand:63J3Q(HandType.THREE_). bid:671    value:405819.   hand_rank:548
hand:63866(HandType.THREE_). bid:589    value:407654.   hand_rank:549
hand:64J4A(HandType.THREE_). bid:904    value:409933.   hand_rank:550
hand:645J6(HandType.THREE_). bid:371    value:410902.   hand_rank:551
hand:64667(HandType.THREE_). bid:633    value:411239.   hand_rank:552
hand:656J7(HandType.THREE_). bid:88     value:415255.   hand_rank:553
hand:66865(HandType.THREE_). bid:899    value:419941.   hand_rank:554
hand:6696T(HandType.THREE_). bid:799    value:420202.   hand_rank:555
hand:669KJ(HandType.THREE_). bid:396    value:420289.   hand_rank:556
hand:66T76(HandType.THREE_). bid:805    value:420470.   hand_rank:557
hand:6766K(HandType.THREE_). bid:709    value:423532.   hand_rank:558
hand:68883(HandType.THREE_). bid:416    value:428163.   hand_rank:559
hand:6986J(HandType.THREE_). bid:766    value:432225.   hand_rank:560
hand:6TT9T(HandType.THREE_). bid:324    value:436890.   hand_rank:561
hand:72T77(HandType.THREE_). bid:474    value:469623.   hand_rank:562
hand:75J7K(HandType.THREE_). bid:542    value:479612.   hand_rank:563
hand:75T55(HandType.THREE_). bid:461    value:481877.   hand_rank:564
hand:76626(HandType.THREE_). bid:655    value:484902.   hand_rank:565
hand:773Q7(HandType.THREE_). bid:223    value:488375.   hand_rank:566
hand:7747K(HandType.THREE_). bid:878    value:488572.   hand_rank:567
hand:7767K(HandType.THREE_). bid:783    value:489084.   hand_rank:568
hand:7779Q(HandType.THREE_). bid:255    value:489371.   hand_rank:569
hand:77K3J(HandType.THREE_). bid:180    value:490545.   hand_rank:570
hand:77AQJ(HandType.THREE_). bid:631    value:490929.   hand_rank:571
hand:79J92(HandType.THREE_). bid:767    value:496018.   hand_rank:572
hand:797A7(HandType.THREE_). bid:813    value:497623.   hand_rank:573
hand:7K888(HandType.THREE_). bid:827    value:510088.   hand_rank:574
hand:7K8KK(HandType.THREE_). bid:963    value:510156.   hand_rank:575
hand:7KKKA(HandType.THREE_). bid:897    value:511181.   hand_rank:576
hand:7AJ8J(HandType.THREE_). bid:646    value:512385.   hand_rank:577
hand:8J538(HandType.THREE_). bid:800    value:529720.   hand_rank:578
hand:83J86(HandType.THREE_). bid:625    value:536966.   hand_rank:579
hand:8777T(HandType.THREE_). bid:298    value:554874.   hand_rank:580
hand:88489(HandType.THREE_). bid:637    value:558217.   hand_rank:581
hand:88748(HandType.THREE_). bid:60     value:558920.   hand_rank:582
hand:889J6(HandType.THREE_). bid:523    value:559382.   hand_rank:583
hand:88938(HandType.THREE_). bid:388    value:559416.   hand_rank:584
hand:88AJ6(HandType.THREE_). bid:735    value:560406.   hand_rank:585
hand:89A88(HandType.THREE_). bid:420    value:564616.   hand_rank:586
hand:8QJ28(HandType.THREE_). bid:28     value:569640.   hand_rank:587
hand:9JJ7A(HandType.THREE_). bid:757    value:594301.   hand_rank:588
hand:9J737(HandType.THREE_). bid:179    value:595767.   hand_rank:589
hand:9JTJ4(HandType.THREE_). bid:20     value:596500.   hand_rank:590
hand:92252(HandType.THREE_). bid:166    value:598610.   hand_rank:591
hand:94744(HandType.THREE_). bid:763    value:608068.   hand_rank:592
hand:94844(HandType.THREE_). bid:414    value:608324.   hand_rank:593
hand:949Q9(HandType.THREE_). bid:588    value:608697.   hand_rank:594
hand:94A4J(HandType.THREE_). bid:369    value:609601.   hand_rank:595
hand:95949(HandType.THREE_). bid:232    value:612681.   hand_rank:596
hand:9666K(HandType.THREE_). bid:875    value:616044.   hand_rank:597
hand:99492(HandType.THREE_). bid:246    value:627858.   hand_rank:598
hand:99498(HandType.THREE_). bid:832    value:627864.   hand_rank:599
hand:9969T(HandType.THREE_). bid:982    value:628378.   hand_rank:600
hand:999AQ(HandType.THREE_). bid:973    value:629211.   hand_rank:601
hand:9Q989(HandType.THREE_). bid:25     value:637321.   hand_rank:602
hand:9QQQ4(HandType.THREE_). bid:285    value:637876.   hand_rank:603
hand:9A444(HandType.THREE_). bid:738    value:644164.   hand_rank:604
hand:T37JJ(HandType.THREE_). bid:830    value:669457.   hand_rank:605
hand:T4449(HandType.THREE_). bid:489    value:672841.   hand_rank:606
hand:T444K(HandType.THREE_). bid:188    value:672844.   hand_rank:607
hand:T4T7T(HandType.THREE_). bid:161    value:674426.   hand_rank:608
hand:T4TT3(HandType.THREE_). bid:293    value:674467.   hand_rank:609
hand:T555Q(HandType.THREE_). bid:129    value:677211.   hand_rank:610
hand:T6TTA(HandType.THREE_). bid:712    value:682669.   hand_rank:611
hand:T7JT4(HandType.THREE_). bid:366    value:684452.   hand_rank:612
hand:T939J(HandType.THREE_). bid:349    value:693137.   hand_rank:613
hand:TT2T5(HandType.THREE_). bid:771    value:696997.   hand_rank:614
hand:TT8T4(HandType.THREE_). bid:305    value:698532.   hand_rank:615
hand:TT8T7(HandType.THREE_). bid:83     value:698535.   hand_rank:616
hand:TTTQ9(HandType.THREE_). bid:893    value:699065.   hand_rank:617
hand:TTTA2(HandType.THREE_). bid:323    value:699090.   hand_rank:618
hand:TTK9J(HandType.THREE_). bid:685    value:699537.   hand_rank:619
hand:TKJK7(HandType.THREE_). bid:147    value:704967.   hand_rank:620
hand:TKTTA(HandType.THREE_). bid:824    value:707245.   hand_rank:621
hand:TKAKK(HandType.THREE_). bid:889    value:708044.   hand_rank:622
hand:TAA3A(HandType.THREE_). bid:863    value:711997.   hand_rank:623
hand:QJ4J7(HandType.THREE_). bid:659    value:726039.   hand_rank:624
hand:QJ733(HandType.THREE_). bid:556    value:726835.   hand_rank:625
hand:QJ797(HandType.THREE_). bid:201    value:726935.   hand_rank:626
hand:QJTT7(HandType.THREE_). bid:475    value:727719.   hand_rank:627
hand:QJA5J(HandType.THREE_). bid:885    value:728401.   hand_rank:628
hand:Q2Q7Q(HandType.THREE_). bid:653    value:732027.   hand_rank:629
hand:Q2KKK(HandType.THREE_). bid:606    value:732364.   hand_rank:630
hand:Q4J47(HandType.THREE_). bid:394    value:737607.   hand_rank:631
hand:Q4844(HandType.THREE_). bid:989    value:739396.   hand_rank:632
hand:Q5333(HandType.THREE_). bid:565    value:742195.   hand_rank:633
hand:Q5Q4Q(HandType.THREE_). bid:48     value:744267.   hand_rank:634
hand:Q5Q7Q(HandType.THREE_). bid:874    value:744315.   hand_rank:635
hand:Q66K6(HandType.THREE_). bid:278    value:747206.   hand_rank:636
hand:Q7J73(HandType.THREE_). bid:53     value:749939.   hand_rank:637
hand:Q888T(HandType.THREE_). bid:841    value:755850.   hand_rank:638
hand:Q88K8(HandType.THREE_). bid:120    value:755912.   hand_rank:639
hand:QTQ6J(HandType.THREE_). bid:428    value:764769.   hand_rank:640
hand:QQJT8(HandType.THREE_). bid:482    value:766376.   hand_rank:641
hand:QQ5TQ(HandType.THREE_). bid:950    value:767403.   hand_rank:642
hand:QQ87Q(HandType.THREE_). bid:275    value:768123.   hand_rank:643
hand:QQQ47(HandType.THREE_). bid:676    value:768839.   hand_rank:644
hand:QKJ7Q(HandType.THREE_). bid:687    value:770427.   hand_rank:645
hand:QAQJT(HandType.THREE_). bid:96     value:776986.   hand_rank:646
hand:QAA9A(HandType.THREE_). bid:976    value:777629.   hand_rank:647
hand:KJT4T(HandType.THREE_). bid:939    value:793162.   hand_rank:648
hand:K26J2(HandType.THREE_). bid:656    value:796178.   hand_rank:649
hand:K4443(HandType.THREE_). bid:732    value:803907.   hand_rank:650
hand:K5558(HandType.THREE_). bid:210    value:808280.   hand_rank:651
hand:K63JJ(HandType.THREE_). bid:101    value:811793.   hand_rank:652
hand:K6Q6J(HandType.THREE_). bid:71     value:813921.   hand_rank:653
hand:K8J98(HandType.THREE_). bid:514    value:819608.   hand_rank:654
hand:K8KK3(HandType.THREE_). bid:152    value:822467.   hand_rank:655
hand:K96KK(HandType.THREE_). bid:172    value:825036.   hand_rank:656
hand:KT3KJ(HandType.THREE_). bid:538    value:828353.   hand_rank:657
hand:KQQQ2(HandType.THREE_). bid:761    value:834482.   hand_rank:658
hand:KK2K7(HandType.THREE_). bid:377    value:836295.   hand_rank:659
hand:KK5TK(HandType.THREE_). bid:68     value:837036.   hand_rank:660
hand:KK82K(HandType.THREE_). bid:651    value:837676.   hand_rank:661
hand:KK8AK(HandType.THREE_). bid:568    value:837852.   hand_rank:662
hand:KKQ6K(HandType.THREE_). bid:64     value:838508.   hand_rank:663
hand:KKK35(HandType.THREE_). bid:493    value:838709.   hand_rank:664
hand:KKKA3(HandType.THREE_). bid:737    value:838867.   hand_rank:665
hand:AJJ94(HandType.THREE_). bid:351    value:856468.   hand_rank:666
hand:AJ335(HandType.THREE_). bid:512    value:856885.   hand_rank:667
hand:AJ7KA(HandType.THREE_). bid:464    value:858061.   hand_rank:668
hand:A22J9(HandType.THREE_). bid:694    value:860697.   hand_rank:669
hand:A5444(HandType.THREE_). bid:600    value:873540.   hand_rank:670
hand:A5AAQ(HandType.THREE_). bid:837    value:875995.   hand_rank:671
hand:A7677(HandType.THREE_). bid:613    value:882295.   hand_rank:672
hand:A7AJ6(HandType.THREE_). bid:994    value:883990.   hand_rank:673
hand:A7AA9(HandType.THREE_). bid:202    value:884185.   hand_rank:674
hand:A8AA9(HandType.THREE_). bid:495    value:888281.   hand_rank:675
hand:AT3JT(HandType.THREE_). bid:884    value:893722.   hand_rank:676
hand:AQAKA(HandType.THREE_). bid:843    value:900557.   hand_rank:677
hand:AKKK6(HandType.THREE_). bid:630    value:904390.   hand_rank:678
hand:AKA4A(HandType.THREE_). bid:103    value:904525.   hand_rank:679
hand:AAJ94(HandType.THREE_). bid:79     value:905620.   hand_rank:680
hand:AA2A9(HandType.THREE_). bid:739    value:905945.   hand_rank:681
hand:AA3A6(HandType.THREE_). bid:311    value:906198.   hand_rank:682
hand:AAKA8(HandType.THREE_). bid:908    value:908504.   hand_rank:683
hand:AAA42(HandType.THREE_). bid:5      value:908610.   hand_rank:684
hand:AAA93(HandType.THREE_). bid:287    value:908691.   hand_rank:685
hand:J3993(HandType.HOUSE_). bid:609    value:80275.    hand_rank:686
hand:J6363(HandType.HOUSE_). bid:997    value:90979.    hand_rank:687
hand:J88AA(HandType.HOUSE_). bid:662    value:100573.   hand_rank:688
hand:J9229(HandType.HOUSE_). bid:621    value:102953.   hand_rank:689
hand:JKKAA(HandType.HOUSE_). bid:319    value:117981.   hand_rank:690
hand:JA77A(HandType.HOUSE_). bid:995    value:120701.   hand_rank:691
hand:222QQ(HandType.HOUSE_). bid:111    value:139963.   hand_rank:692
hand:228J8(HandType.HOUSE_). bid:853    value:141336.   hand_rank:693
hand:23323(HandType.HOUSE_). bid:579    value:144163.   hand_rank:694
hand:244J2(HandType.HOUSE_). bid:95     value:148498.   hand_rank:695
hand:26262(HandType.HOUSE_). bid:3      value:156258.   hand_rank:696
hand:26626(HandType.HOUSE_). bid:992    value:157222.   hand_rank:697
hand:27722(HandType.HOUSE_). bid:91     value:161570.   hand_rank:698
hand:28828(HandType.HOUSE_). bid:274    value:165928.   hand_rank:699
hand:29292(HandType.HOUSE_). bid:871    value:168594.   hand_rank:700
hand:2K22K(HandType.HOUSE_). bid:537    value:180780.   hand_rank:701
hand:2A2A2(HandType.HOUSE_). bid:195    value:185042.   hand_rank:702
hand:2AA2A(HandType.HOUSE_). bid:29     value:187693.   hand_rank:703
hand:3JT3T(HandType.HOUSE_). bid:796    value:203322.   hand_rank:704
hand:322J3(HandType.HOUSE_). bid:700    value:205331.   hand_rank:705
hand:32223(HandType.HOUSE_). bid:500    value:205347.   hand_rank:706
hand:33QQJ(HandType.HOUSE_). bid:478    value:211889.   hand_rank:707
hand:33A3A(HandType.HOUSE_). bid:516    value:212285.   hand_rank:708
hand:34343(HandType.HOUSE_). bid:850    value:213827.   hand_rank:709
hand:35355(HandType.HOUSE_). bid:156    value:217941.   hand_rank:710
hand:36336(HandType.HOUSE_). bid:909    value:222006.   hand_rank:711
hand:3T33T(HandType.HOUSE_). bid:634    value:238394.   hand_rank:712
hand:3TTT3(HandType.HOUSE_). bid:673    value:240291.   hand_rank:713
hand:3K3K3(HandType.HOUSE_). bid:635    value:246723.   hand_rank:714
hand:4J466(HandType.HOUSE_). bid:187    value:267366.   hand_rank:715
hand:4J554(HandType.HOUSE_). bid:782    value:267604.   hand_rank:716
hand:42422(HandType.HOUSE_). bid:825    value:271394.   hand_rank:717
hand:44J99(HandType.HOUSE_). bid:768    value:278937.   hand_rank:718
hand:44JAA(HandType.HOUSE_). bid:149    value:279005.   hand_rank:719
hand:443J3(HandType.HOUSE_). bid:636    value:279315.   hand_rank:720
hand:44422(HandType.HOUSE_). bid:186    value:279586.   hand_rank:721
hand:44774(HandType.HOUSE_). bid:905    value:280436.   hand_rank:722
hand:44QQQ(HandType.HOUSE_). bid:451    value:281531.   hand_rank:723
hand:44KJK(HandType.HOUSE_). bid:504    value:281628.   hand_rank:724
hand:4QJQ4(HandType.HOUSE_). bid:697    value:307636.   hand_rank:725
hand:4Q44Q(HandType.HOUSE_). bid:903    value:308299.   hand_rank:726
hand:4A44A(HandType.HOUSE_). bid:721    value:316493.   hand_rank:727
hand:5J577(HandType.HOUSE_). bid:224    value:333175.   hand_rank:728
hand:52552(HandType.HOUSE_). bid:933    value:337234.   hand_rank:729
hand:53533(HandType.HOUSE_). bid:465    value:341299.   hand_rank:730
hand:54445(HandType.HOUSE_). bid:608    value:345157.   hand_rank:731
hand:55JKK(HandType.HOUSE_). bid:627    value:348620.   hand_rank:732
hand:55544(HandType.HOUSE_). bid:944    value:349508.   hand_rank:733
hand:55888(HandType.HOUSE_). bid:509    value:350344.   hand_rank:734
hand:5QQ55(HandType.HOUSE_). bid:331    value:375637.   hand_rank:735
hand:5AA5J(HandType.HOUSE_). bid:200    value:384337.   hand_rank:736
hand:62J62(HandType.HOUSE_). bid:688    value:401762.   hand_rank:737
hand:63663(HandType.HOUSE_). bid:644    value:407139.   hand_rank:738
hand:64466(HandType.HOUSE_). bid:27     value:410726.   hand_rank:739
hand:66555(HandType.HOUSE_). bid:82     value:419157.   hand_rank:740
hand:667J7(HandType.HOUSE_). bid:862    value:419607.   hand_rank:741
hand:66QQ6(HandType.HOUSE_). bid:70     value:420790.   hand_rank:742
hand:66K6K(HandType.HOUSE_). bid:77     value:420972.   hand_rank:743
hand:67667(HandType.HOUSE_). bid:144    value:423527.   hand_rank:744
hand:6T6TT(HandType.HOUSE_). bid:57     value:435882.   hand_rank:745
hand:6K6KK(HandType.HOUSE_). bid:264    value:444108.   hand_rank:746
hand:75755(HandType.HOUSE_). bid:981    value:481109.   hand_rank:747
